County,Year,value
Florida,2017-06-30,99.9
Alachua,2017-06-30,227.5
Baker,2017-06-30,55.4
Bay,2017-06-30,100.0
Bradford,2017-06-30,18.0
Brevard,2017-06-30,99.8
Broward,2017-06-30,120.7
Calhoun,2017-06-30,13.6
Charlotte,2017-06-30,60.9
Citrus,2017-06-30,50.4
Clay,2017-06-30,78.3
Collier,2017-06-30,65.0
Columbia,2017-06-30,73.6
Miami-Dade,2017-06-30,86.4
DeSoto,2017-06-30,45.1
Dixie,2017-06-30,5.9
Duval,2017-06-30,96.1
Escambia,2017-06-30,94.6
Flagler,2017-06-30,64.1
Franklin,2017-06-30,25.0
Gadsden,2017-06-30,73.9
Gilchrist,2017-06-30,41.2
Glades,2017-06-30,7.5
Gulf,2017-06-30,76.7
Hamilton,2017-06-30,20.3
Hardee,2017-06-30,28.9
Hendry,2017-06-30,25.9
Hernando,2017-06-30,51.9
Highlands,2017-06-30,47.8
Hillsborough,2017-06-30,103.6
Holmes,2017-06-30,59.6
Indian River,2017-06-30,84.0
Jackson,2017-06-30,63.6
Jefferson,2017-06-30,61.9
Lafayette,2017-06-30,23.1
Lake,2017-06-30,60.3
Lee,2017-06-30,70.5
Leon,2017-06-30,143.6
Levy,2017-06-30,29.4
Liberty,2017-06-30,56.6
Madison,2017-06-30,10.4
Manatee,2017-06-30,88.0
Marion,2017-06-30,61.9
Martin,2017-06-30,126.0
Monroe,2017-06-30,94.4
Nassau,2017-06-30,84.2
Okaloosa,2017-06-30,100.6
Okeechobee,2017-06-30,48.2
Orange,2017-06-30,103.6
Osceola,2017-06-30,41.2
Palm Beach,2017-06-30,141.3
Pasco,2017-06-30,70.0
Pinellas,2017-06-30,127.9
Polk,2017-06-30,56.3
Putnam,2017-06-30,31.5
St. Johns,2017-06-30,156.6
St. Lucie,2017-06-30,60.3
Santa Rosa,2017-06-30,103.0
Sarasota,2017-06-30,135.2
Seminole,2017-06-30,145.5
Sumter,2017-06-30,41.2
Suwannee,2017-06-30,24.7
Taylor,2017-06-30,18.0
Union,2017-06-30,31.5
Volusia,2017-06-30,89.5
Wakulla,2017-06-30,68.5
Walton,2017-06-30,74.6
Washington,2017-06-30,36.1
Unknown,2017-06-30,
Florida,2018-06-30,104.6
Alachua,2018-06-30,226.7
Baker,2018-06-30,58.2
Bay,2018-06-30,92.7
Bradford,2018-06-30,32.0
Brevard,2018-06-30,99.0
Broward,2018-06-30,123.2
Calhoun,2018-06-30,6.5
Charlotte,2018-06-30,64.4
Citrus,2018-06-30,50.3
Clay,2018-06-30,82.9
Collier,2018-06-30,68.0
Columbia,2018-06-30,76.2
Miami-Dade,2018-06-30,85.4
DeSoto,2018-06-30,50.1
Dixie,2018-06-30,11.9
Duval,2018-06-30,100.3
Escambia,2018-06-30,103.1
Flagler,2018-06-30,73.7
Franklin,2018-06-30,24.3
Gadsden,2018-06-30,72.7
Gilchrist,2018-06-30,22.8
Glades,2018-06-30,7.6
Gulf,2018-06-30,67.8
Hamilton,2018-06-30,20.4
Hardee,2018-06-30,25.5
Hendry,2018-06-30,27.7
Hernando,2018-06-30,55.5
Highlands,2018-06-30,41.6
Hillsborough,2018-06-30,102.0
Holmes,2018-06-30,49.0
Indian River,2018-06-30,84.8
Jackson,2018-06-30,63.1
Jefferson,2018-06-30,54.3
Lafayette,2018-06-30,23.9
Lake,2018-06-30,63.1
Lee,2018-06-30,67.5
Leon,2018-06-30,143.3
Levy,2018-06-30,31.3
Liberty,2018-06-30,68.3
Madison,2018-06-30,25.7
Manatee,2018-06-30,82.7
Marion,2018-06-30,62.5
Martin,2018-06-30,121.4
Monroe,2018-06-30,94.1
Nassau,2018-06-30,85.4
Okaloosa,2018-06-30,102.3
Okeechobee,2018-06-30,41.0
Orange,2018-06-30,101.6
Osceola,2018-06-30,42.4
Palm Beach,2018-06-30,142.7
Pasco,2018-06-30,73.8
Pinellas,2018-06-30,127.9
Polk,2018-06-30,55.7
Putnam,2018-06-30,30.0
St. Johns,2018-06-30,151.1
St. Lucie,2018-06-30,61.0
Santa Rosa,2018-06-30,107.7
Sarasota,2018-06-30,133.4
Seminole,2018-06-30,151.4
Sumter,2018-06-30,44.5
Suwannee,2018-06-30,26.6
Taylor,2018-06-30,13.5
Union,2018-06-30,25.1
Volusia,2018-06-30,90.1
Wakulla,2018-06-30,71.1
Walton,2018-06-30,82.4
Washington,2018-06-30,43.6
Unknown,2018-06-30,
Florida,2019-06-30,110.3
Alachua,2019-06-30,239.3
Baker,2019-06-30,53.4
Bay,2019-06-30,104.5
Bradford,2019-06-30,38.7
Brevard,2019-06-30,106.2
Broward,2019-06-30,132.7
Calhoun,2019-06-30,6.7
Charlotte,2019-06-30,63.6
Citrus,2019-06-30,52.8
Clay,2019-06-30,88.4
Collier,2019-06-30,68.0
Columbia,2019-06-30,77.9
Miami-Dade,2019-06-30,92.2
DeSoto,2019-06-30,50.4
Dixie,2019-06-30,12.1
Duval,2019-06-30,107.2
Escambia,2019-06-30,108.1
Flagler,2019-06-30,83.2
Franklin,2019-06-30,25.0
Gadsden,2019-06-30,77.2
Gilchrist,2019-06-30,28.3
Glades,2019-06-30,7.6
Gulf,2019-06-30,66.6
Hamilton,2019-06-30,27.1
Hardee,2019-06-30,25.6
Hendry,2019-06-30,34.9
Hernando,2019-06-30,58.5
Highlands,2019-06-30,43.5
Hillsborough,2019-06-30,109.0
