Unnamed: 0,New Provider Name,Assessment and plan for trauma,Assessment and plan for pain,Pt is at baseline No GDR,Attempted GDR,Failed GDR,Unstable requiring no med changes,Pt Unstable Requiring Med Changes,Ordered labs,Total Psych Meds Started,Total Psych Meds Discontinued,Total Psych Meds Increased,Total Pysch Meds Decreased,Changed diagnosis,Referred patient to,Initiated prior authorization,Summary of session and goals,Decision making,Total Difference In Psych Meds,Initiated Baker Act,Initiated 1 1 sitter,Removed 1 1 sitter
,Provider-0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,280,0,0,0,0,0
,Provider-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0
,Provider-2,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0
,Provider-3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0
,Provider-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,Provider-5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0
,Provider-6,56,57,200,15,2,14,29,4,9,52,19,1,8,6,0,0,0,43,0,0,1
,Provider-7,53,54,246,22,3,45,69,4,39,31,34,18,4,0,0,0,5,-8,0,0,2
,Provider-8,87,87,123,1,0,26,79,10,62,11,24,8,4,22,0,0,0,-51,0,2,1
,Provider-9,76,77,25,1,0,21,31,11,18,23,15,8,2,13,0,0,0,5,0,1,1
,Provider-10,20,21,93,4,0,31,26,9,7,15,13,7,0,1,0,0,1,8,0,0,0
,Provider-11,42,42,185,45,0,91,152,34,86,67,75,56,53,22,0,0,0,-19,0,0,1
,Provider-12,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0
,Provider-13,51,51,204,7,1,28,75,12,37,24,37,10,11,0,0,0,0,-13,0,0,0
,Provider-14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,3,1,0
,Provider-15,92,91,56,16,1,26,30,5,16,25,13,17,4,2,0,0,0,9,2,1,1
,Provider-16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
,Provider-17,65,65,181,19,0,12,58,2,87,69,0,0,19,4,0,0,6,-18,0,1,0
,Provider-18,62,62,299,4,0,10,73,25,40,40,49,0,5,80,0,0,0,0,0,0,2
,Provider-19,15,15,158,23,0,4,39,2,14,25,36,33,13,0,0,0,2,11,0,0,0
,Provider-20,38,38,211,11,0,29,97,18,63,48,43,25,11,3,0,0,0,-15,0,0,0
,Provider-21,2,7,4449,22,0,89,74,69,34,93,50,70,113,9,1,0,0,59,0,0,0
,Provider-22,33,34,407,1,0,51,68,13,17,11,45,9,4,1,0,0,0,-6,1,0,0
,Provider-23,44,44,232,57,1,11,78,18,38,48,44,58,18,11,1,0,0,10,0,1,1
,Provider-24,14,14,80,10,1,20,44,2,33,31,24,12,21,3,0,0,9,-2,1,0,0
,Provider-25,124,126,128,19,1,83,84,18,28,47,54,27,4,13,0,0,0,19,0,0,0
,Provider-26,52,52,170,19,0,28,81,6,61,62,40,19,16,2,0,0,0,1,0,0,0
,Provider-27,72,72,149,4,0,5,20,4,6,5,14,4,0,0,0,0,1,-1,0,0,0
,Provider-28,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0
,Provider-29,95,96,237,17,0,6,77,1,61,27,16,22,1,0,0,0,7,-34,0,0,0
,Provider-30,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0
,Provider-31,37,37,87,22,2,12,34,3,16,20,14,18,3,2,0,0,19,4,0,0,0
,Provider-32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
,Provider-33,47,47,39,2,0,2,5,0,4,3,2,1,0,0,0,0,0,-1,0,0,0
,Provider-34,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0
,Provider-35,76,77,155,4,0,39,119,21,75,36,48,16,19,5,0,0,1,-39,0,1,2
,Provider-36,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,0,0,0,0,3
,Provider-37,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0
,Provider-38,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0
,Provider-39,55,65,224,31,1,127,85,12,51,41,46,51,35,7,0,0,0,-10,0,0,0
,Provider-40,20,20,162,33,0,22,42,4,27,29,18,26,2,0,0,0,23,2,0,0,0
,Provider-41,37,35,273,11,0,21,36,5,18,24,11,10,11,1,0,0,1,6,1,0,0
,Provider-42,19,19,68,10,2,16,32,3,17,17,11,10,9,15,1,0,1,0,0,0,5
,Provider-43,73,74,95,40,0,20,102,10,50,52,69,55,21,3,0,0,9,2,0,0,0
,Provider-44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
,Provider-45,162,149,401,10,0,18,97,13,76,32,33,19,3,1,0,0,0,-44,0,4,2
,Provider-46,31,0,0,0,0,0,0,0,0,0,0,0,0,2,0,214,0,0,1,0,0
,Provider-47,55,55,351,6,2,15,54,6,23,46,33,14,49,1,0,0,0,23,0,0,1
,Provider-48,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0
,Provider-49,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
,Provider-50,50,51,202,62,2,9,103,13,62,62,53,57,7,0,0,0,12,0,0,0,0
,Provider-51,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0
